Codes,Returns,KODEX's Returns at same time,S&P's Return
0,0.02,0.02,0.43
0,0.21,0.21,0.06
0,-0.7,-0.7,-0.11
0,0.43,0.43,-0.21
0,0.92,0.92,0.17
0,0.22,0.22,0.62
0,-0.08,-0.08,0.75
0,-0.08,-0.08,-0.25
0,0.26,0.26,0.26
0,0.55,0.55,0.36
0,0.06,0.06,0.59
0,-0.12,-0.12,0.11
0,0.5,0.5,0.38
0,-0.08,-0.08,-0.19
0,-0.26,-0.26,-0.71
0,-0.18,-0.18,0.84
0,0.16,0.16,-0.42
0,0.52,0.52,-0.23
0,0.44,0.44,1.07
0,-0.42,-0.42,0.08
0,-1.42,-1.42,-0.52
0,0.18,0.18,1.11
0,-0.83,-0.83,-0.68
0,0.51,0.51,-0.42
0,0.06,0.06,0.8
0,-0.2,-0.2,-0.79
0,0.08,0.08,-0.33
0,0.79,0.79,0.13
0,2.04,2.04,1.7
0,-0.08,-0.08,0.1
0,-0.34,-0.34,-0.62
0,0.14,0.14,1.14
0,-0.34,-0.34,0.04
0,0.78,0.78,0.76
0,-0.38,-0.38,-0.98
0,-0.12,-0.12,0.14
0,0.3,0.3,-0.18
0,0,0,-0.02
0,-1.03,-1.03,-0.23
0,-0.33,-0.33,-0.39
0,-0.76,-0.76,-0.41
0,0.31,0.31,0.6
0,-0.51,-0.51,-0.7
0,-0.17,-0.17,0.04
0,0.39,0.39,0.25
0,-0.1,-0.1,0.7
0,-0.23,-0.23,-0.51
0,-0.79,-0.79,-0.68
0,0.15,0.15,-0.1
0,0.06,0.06,0.88
0,-0.56,-0.56,-1.07
0,-0.27,-0.27,-0.25
0,0,0,0.54
0,0.27,0.27,0.02
0,-0.71,-0.71,-0.27
0,1.41,1.41,1.88
0,-0.19,-0.19,0.16
0,0.52,0.52,0.37
0,-0.23,-0.23,0.39
0,0.81,0.81,0.02
0,0.06,0.06,-0.32
0,0.19,0.19,0.06
0,0.16,0.16,0.49
0,1.33,1.33,0.26
0,1.01,1.01,-0.06
0,-0.04,-0.04,0.14
0,-0.4,-0.4,-0.04
0,-2.07,-2.07,-1.07
0,-0.33,-0.33,-0.49
0,-0.04,-0.04,-0.35
0,-0.76,-0.76,-0.27
0,0.17,0.17,0.7
0,1.39,1.39,0.53
0,0,0,-0.12
0,0.57,0.57,-0.02
0,0.06,0.06,0.37
0,-3.21,-3.21,-4.27
0,0.27,0.27,0.83
0,0.25,0.25,-0.36
0,1.19,1.19,1.23
0,0.72,0.72,1.36
0,0.82,0.82,1.3
0,0.35,0.35,0.57
0,-0.12,-0.12,-0.38
0,-2.01,-2.01,-0.81
0,1.14,1.14,0.9
0,-0.51,-0.51,-0.37
0,1.48,1.48,2.02
0,0,0,-0.02
0,0.67,0.67,0.52
0,0.18,0.18,0.26
0,0.5,0.5,0.28
0,0.18,0.18,0.2
0,-0.14,-0.14,-0.04
0,-0.18,-0.18,0.04
0,0.1,0.1,0.53
0,-0.06,-0.06,-0.51
0,0.06,0.06,0.41
0,0.88,0.88,-0.04
0,-0.06,-0.06,0.14
0,-0.22,-0.22,-0.12
0,-0.08,-0.08,-0.1
0,0.82,0.82,0.57
0,-0.77,-0.77,-0.49
0,-1.27,-1.27,-0.77
0,0.22,0.22,0.36
0,1.09,1.09,0.22
0,0.76,0.76,0.53
0,0.77,0.77,-0.1
0,-0.33,-0.33,0.12
0,0.12,0.12,-0.04
0,0.35,0.35,0.2
0,-0.06,-0.06,0.23
0,-0.08,-0.08,-0.1
0,0.73,0.73,-0.04
0,0.23,0.23,0
0,-0.58,-0.58,-0.06
0,0.53,0.53,0.08
0,-0.47,-0.47,0.2
0,0.18,0.18,-0.39
0,-0.39,-0.39,-0.12
0,0.02,0.02,-0.43
0,0.41,0.41,0.71
0,-0.37,-0.37,-0.14
0,-0.25,-0.25,-0.06
0,0.2,0.2,-0.33
0,1.27,1.27,0.61
0,0.37,0.37,-0.23
0,-0.19,-0.19,0.43
0,-0.02,-0.02,-0.1
0,-1.18,-1.18,-0.29
0,-2.52,-2.52,-3.15
0,0.36,0.36,1.88
0,1.04,1.04,0.02
0,0.16,0.16,-0.16
0,0.67,0.67,0.12
0,0.88,0.88,0.63
0,-0.08,-0.08,0.55
0,-0.33,-0.33,-0.61
0,0.68,0.68,-0.08
0,-0.29,-0.29,-0.1
0,0.7,0.7,0.73
0,-1.08,-1.08,-1.35
0,0.58,0.58,0.64
0,-0.06,-0.06,-0.28
0,0.7,0.7,0.4
